"id","name","category","price","description","unit_shipping_cost"
188,"Goulash","Sports & Outdoor",7712,"Tuples are containers for a fixed number of Erlang data types.",3.228115
189,"Chicken bog","Electronics",2497,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",6.1527486
190,"Funnel Cake","Fashion",5869,"Haskell features a type system with type inference and lazy evaluation.",3.9012537
191,"Spaghetti and Meatballs","Electronics",18713,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",3.0558906
192,"Pigs in blankets","Music Instruments",13325,"Do you have any idea why this is not working?",9.592659
193,"Spaghetti and Meatballs","Video Games",14850,"Erlang is known for its designs that are well suited for systems.",4.4297333
194,"Stuffed zucchini","Electronics",16797,"Its main implementation is the Glasgow Haskell Compiler.",4.533538
195,"Baba Ghanoush","Books",957,"It is also a garbage-collected runtime system.",5.8370366
196,"Pizza strips","Office Supply",2232,"Atoms are used within a program to denote distinguished values.",8.710732
197,"Pancakes","Health & Hygine",16159,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.1793475
198,"Fry sauce","Home & Garden",4913,"In 1989 the building was heavily damaged by fire, but it has since been restored.",2.2277546
199,"Potato wedges","Fashion",9109,"Where are my pants?",9.60103
200,"Spanish rice","Video Games",13621,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",4.5604086
201,"Clam chowder","Office Supply",13032,"Do you have any idea why this is not working?",8.049263
202,"Fajitas","Books",9449,"She spent her earliest years reading classic literature, and writing poetry.",4.1263323
203,"Philadelphia cheesesteak","Sports & Outdoor",5642,"Ports are created with the built-in function open_port.",8.302577
204,"Chicken à la King","Sports & Outdoor",8934,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2.2539277
205,"Pumpkin pie","Fashion",10313,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.972336
206,"Cheesy Garlic Bread","Electronics",12182,"Do you come here often?",9.286285
207,"Abalone","Fashion",4400,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",5.21972
208,"Apple sauce","Beauty & Personal",3775,"Ports are used to communicate with the external world.",5.3663793
209,"Scampi","Video Games",14277,"Where are my pants?",6.3071003
210,"Tamales","Home & Garden",18969,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.979533
211,"Tres Leches Cake","Home & Garden",13392,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.77193
212,"Shish Kabob","Books",14897,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.3636813
213,"Doughnut","Home & Garden",7307,"Do you have any idea why this is not working?",9.10111
214,"Chowder","Beauty & Personal",8460,"Tuples are containers for a fixed number of Erlang data types.",3.8741374
215,"Protein bar","Beauty & Personal",10102,"The arguments can be primitive data types or compound data types.",3.7896805
216,"Cheesecake","Sports & Outdoor",18373,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",7.2651815
217,"Abalone","Beauty & Personal",12685,"Type classes first appeared in the Haskell programming language.",7.703457
218,"Piroshky","Fashion",18282,"Make me a sandwich.",9.924165
219,"Cheesy Garlic Bread","Home & Garden",9905,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",5.158076
220,"Corn chowder","Fashion",9192,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2.9249094
221,"Pop-Tarts","Video Games",13659,"Tuples are containers for a fixed number of Erlang data types.",8.119004
222,"Ceviche","Fashion",13976,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",2.297717
223,"Sandwich","Fashion",12700,"Do you have any idea why this is not working?",4.5726566
224,"Gumbo","Books",3034,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.763499
225,"Gazpacho","Books",6823,"It is also a garbage-collected runtime system.",2.2729816
226,"Beef Lo Mein","Fashion",9511,"Erlang is a general-purpose, concurrent, functional programming language.",7.1840363
227,"Spring Rolls","Fashion",3521,"Any element of a tuple can be accessed in constant time.",6.948248
228,"Glorified rice","Home & Garden",10818,"Where are my pants?",6.968623
229,"Senate bean soup","Health & Hygine",19580,"Make me a sandwich.",4.414361
230,"Garden salad","Health & Hygine",14907,"Atoms are used within a program to denote distinguished values.",5.8515286
231,"Pancakes","Health & Hygine",5596,"In 1989 the building was heavily damaged by fire, but it has since been restored.",8.245625
232,"Pumpkin pie","Beauty & Personal",7619,"He looked inquisitively at his keyboard and wrote another sentence.",3.3395057
233,"Seafood cocktail","Sports & Outdoor",3077,"Tuples are containers for a fixed number of Erlang data types.",3.1367035
234,"Chicken Tikka Masala","Office Supply",3854,"Make me a sandwich.",4.471952
235,"Mozzarella sticks","Health & Hygine",15842,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",7.2520003
236,"Chicken Biryani","Electronics",12194,"Its main implementation is the Glasgow Haskell Compiler.",4.8304706
237,"City chicken","Sports & Outdoor",3202,"Make me a sandwich.",6.562746
238,"Toaster Strudel","Music Instruments",13647,"He looked inquisitively at his keyboard and wrote another sentence.",8.098301
239,"Carolina style","Sports & Outdoor",17694,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",2.3220017
240,"Venison","Office Supply",5490,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",3.2128215
241,"Coleslaw","Electronics",15045,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",8.19466
242,"Seafood cocktail","Video Games",15047,"Do you come here often?",5.0087466
243,"Mango and Sticky Rice","Beauty & Personal",3154,"Erlang is known for its designs that are well suited for systems.",8.168739
244,"Chicken nugget","Fashion",11815,"Its main implementation is the Glasgow Haskell Compiler.",9.479817
245,"Risotto","Books",13784,"Its main implementation is the Glasgow Haskell Compiler.",8.37182
246,"Jambalaya","Sports & Outdoor",512,"Where are my pants?",6.4410176
247,"Scrapple","Home & Garden",18838,"I don't even care.",5.5542984
248,"Elote","Fashion",15115,"It is also a garbage-collected runtime system.",4.937162
249,"Sauteed Morel Mushrooms","Office Supply",3164,"Ports are used to communicate with the external world.",3.9927182
250,"Hawaiian Pizza","Office Supply",13488,"Atoms are used within a program to denote distinguished values.",6.2485156
251,"Pistachio Ice Cream","Health & Hygine",16762,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",4.5541635
252,"Buffalo Wings","Beauty & Personal",3130,"Its main implementation is the Glasgow Haskell Compiler.",4.006061
253,"Grits","Sports & Outdoor",17698,"He looked inquisitively at his keyboard and wrote another sentence.",9.147493
254,"Hangtown fry","Video Games",3416,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",4.8794765
255,"Satay","Health & Hygine",13630,"Ports are created with the built-in function open_port.",8.168495
256,"Chili con carne","Electronics",15086,"He looked inquisitively at his keyboard and wrote another sentence.",4.967101
257,"Bagels and Lox","Health & Hygine",17056,"She spent her earliest years reading classic literature, and writing poetry.",8.582434
258,"BBQ Chicken Pizza","Office Supply",3937,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",5.4442644
259,"Alice Springs Chicken","Sports & Outdoor",10698,"Atoms are used within a program to denote distinguished values.",9.041154
260,"Tuna casserole","Music Instruments",4854,"Ports are created with the built-in function open_port.",2.9428332
261,"Steamed clams","Office Supply",16756,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",2.045483
262,"Baked potato","Music Instruments",9333,"Make me a sandwich.",8.302456
263,"Baked potato","Office Supply",8800,"Ports are used to communicate with the external world.",8.790353
264,"Key Lime Pie","Health & Hygine",4861,"Its main implementation is the Glasgow Haskell Compiler.",9.962991
265,"Rabbit pie","Music Instruments",1125,"Tuples are containers for a fixed number of Erlang data types.",5.542294
266,"Tuna Pizza","Music Instruments",19621,"Erlang is known for its designs that are well suited for systems.",2.6501398
267,"Bookbinder Soup","Books",6035,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.225284
268,"Chicken and waffles","Electronics",8138,"Where are my pants?",7.8011584
269,"Italian Beef Sandwich","Beauty & Personal",16004,"Its main implementation is the Glasgow Haskell Compiler.",6.7376304
270,"Steak sauce","Office Supply",10205,"Type classes first appeared in the Haskell programming language.",6.247648
271,"Home fries","Beauty & Personal",4656,"Do you come here often?",6.2125015
272,"Chowder","Books",3357,"The arguments can be primitive data types or compound data types.",3.9887037
273,"Milk toast","Beauty & Personal",7894,"The arguments can be primitive data types or compound data types.",7.281605
274,"Montreal Smoked Meat","Music Instruments",18800,"The arguments can be primitive data types or compound data types.",4.7008667
275,"Potato Wedges","Health & Hygine",5949,"Ports are created with the built-in function open_port.",7.1585155
276,"Abalone","Office Supply",9575,"Ports are created with the built-in function open_port.",9.005083
277,"Yeung Chow fried rice","Video Games",4082,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",6.3150287
